City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Banda Aceh,5.5577,95.3222,79.43,81,99,11.54,ID,2022-08-20 18:35:27
68,Dikson,73.5069,80.5464,42.44,85,100,9.26,RU,2022-08-20 18:37:38
69,Constitucion,-35.3333,-72.4167,61.23,65,100,13.44,CL,2022-08-20 18:33:27
70,Cidreira,-30.1811,-50.2056,57.36,66,0,13.24,BR,2022-08-20 18:37:39
71,Severo-Kurilsk,50.6789,156.125,53.1,98,100,12.46,RU,2022-08-20 18:37:39
72,Saint-Denis,48.9167,2.3333,77.16,43,0,5.75,FR,2022-08-20 18:37:40
73,Abalak,58.1286,68.5944,48.61,90,43,6.62,RU,2022-08-20 18:37:40
74,Ponta Do Sol,32.6667,-17.1,77.72,74,4,1.45,PT,2022-08-20 18:37:41
75,Puerto Ayora,-0.7393,-90.3518,78.76,90,95,5.99,EC,2022-08-20 18:37:41
76,Irondequoit,43.2134,-77.5797,92.07,56,75,9.22,US,2022-08-20 18:37:44
77,Sorland,67.667,12.6934,53.46,97,100,7.27,NO,2022-08-20 18:37:45
78,Half Moon Bay,37.4636,-122.4286,86.54,70,20,4.61,US,2022-08-20 18:34:33
79,Kavieng,-2.5744,150.7967,80.06,80,76,13.89,PG,2022-08-20 18:37:45
80,Fortuna,40.5982,-124.1573,64.98,94,75,3.44,US,2022-08-20 18:37:46
81,Cotusca,48.1333,26.85,72.59,52,6,2.95,RO,2022-08-20 18:37:46
82,Molina,-35.1167,-71.2833,57.36,61,0,8.05,CL,2022-08-20 18:32:52
83,Easton,40.6884,-75.2207,93.42,40,40,4.0,US,2022-08-20 18:34:27
84,Riyadh,24.6877,46.7219,100.54,9,0,8.86,SA,2022-08-20 18:36:10
85,Rantepao,-2.9701,119.8978,64.49,95,81,1.86,ID,2022-08-20 18:37:51
86,Lagoa,39.05,-27.9833,74.95,68,0,2.75,PT,2022-08-20 18:37:52
87,Puerto Del Rosario,28.5004,-13.8627,80.35,74,0,17.27,ES,2022-08-20 18:37:52
88,Kapaa,22.0752,-159.319,82.09,71,20,14.97,US,2022-08-20 18:33:57
89,Oriximina,-1.7656,-55.8661,95.92,33,56,5.59,BR,2022-08-20 18:37:53
90,Kaitangata,-46.2817,169.8464,47.08,95,100,3.09,NZ,2022-08-20 18:37:53
91,Presidencia Roque Saenz Pena,-26.7852,-60.4388,70.97,17,0,6.11,AR,2022-08-20 18:38:53
92,Hirara,24.8,125.2833,84.83,72,100,8.16,JP,2022-08-20 18:38:54
93,Saint-Philippe,-21.3585,55.7679,68.22,77,46,13.11,RE,2022-08-20 18:38:54
94,Carutapera,-1.195,-46.02,81.59,79,82,10.56,BR,2022-08-20 18:38:55
95,Sinjar,36.3209,41.8754,91.06,22,1,11.5,IQ,2022-08-20 18:38:56
96,Hermanus,-34.4187,19.2345,46.8,65,55,6.89,ZA,2022-08-20 18:38:56
97,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,94,100,4.47,RU,2022-08-20 18:38:56
98,Chapais,49.7834,-74.8492,74.98,64,23,5.79,CA,2022-08-20 18:38:57
99,Auburn,47.3073,-122.2284,71.44,80,100,6.91,US,2022-08-20 18:38:57
100,Isangel,-19.55,169.2667,69.91,94,40,0.0,VU,2022-08-20 18:38:57
101,Albany,42.6001,-73.9662,91.38,39,89,0.4,US,2022-08-20 18:37:29
102,Cairns,-16.9167,145.7667,62.55,82,9,9.22,AU,2022-08-20 18:38:58
103,Aklavik,68.2191,-135.0107,46.22,77,100,4.05,CA,2022-08-20 18:38:59
104,Lugoba,-6.45,38.3333,68.81,74,0,4.0,TZ,2022-08-20 18:38:59
105,Marovoay,-16.1,46.6333,69.35,75,0,1.86,MG,2022-08-20 18:38:59
106,Ixtapa,20.7,-105.2,91.22,58,20,1.99,MX,2022-08-20 18:39:00
107,Malinovskiy,61.1953,62.8397,57.51,52,99,1.25,RU,2022-08-20 18:39:00
108,Kirakira,-10.4544,161.9205,78.13,86,34,11.01,SB,2022-08-20 18:39:00
109,Aranos,-24.1333,19.1167,51.15,27,0,11.88,NA,2022-08-20 18:39:01
110,New Norfolk,-42.7826,147.0587,35.71,84,11,2.86,AU,2022-08-20 18:39:01
111,Dori,14.0354,-0.0345,78.62,71,82,6.76,BF,2022-08-20 18:39:02
112,Varhaug,58.6147,5.6457,64.15,84,100,15.3,NO,2022-08-20 18:39:02
113,Coquimbo,-29.9533,-71.3436,53.33,93,100,8.05,CL,2022-08-20 18:39:03
114,Naze,28.3667,129.4833,81.52,85,100,15.12,JP,2022-08-20 18:39:03
115,Tuatapere,-46.1333,167.6833,46.02,93,100,4.05,NZ,2022-08-20 18:39:04
116,Castro,-24.7911,-50.0119,56.08,69,100,9.22,BR,2022-08-20 18:39:04
117,Yairipok,24.6667,94.0667,70.34,98,98,0.85,IN,2022-08-20 18:39:05
118,Mabaruma,8.2,-59.7833,84.2,74,75,4.61,GY,2022-08-20 18:39:05
119,Vanavara,60.34,102.2797,48.63,98,100,6.62,RU,2022-08-20 18:39:05
120,Ilulissat,69.2167,-51.1,42.82,56,75,5.75,GL,2022-08-20 18:39:06
121,Corrales,35.2378,-106.6067,67.91,84,100,14.97,US,2022-08-20 18:39:10
122,Zabol,32.25,67.25,72.39,56,0,7.94,AF,2022-08-20 18:39:10
123,Ribeira Grande,38.5167,-28.7,77.4,78,40,5.75,PT,2022-08-20 18:39:11
124,Tabou,4.423,-7.3528,75.88,81,93,6.31,CI,2022-08-20 18:39:11
125,Solnechnyy,50.7214,136.6319,50.65,88,100,2.53,RU,2022-08-20 18:39:12
126,Ashcroft,50.7165,-121.2859,83.48,40,6,1.03,CA,2022-08-20 18:39:12
127,Mut,36.6439,33.4389,84.81,40,0,2.68,TR,2022-08-20 18:39:13
128,Aden,12.7794,45.0367,88.16,53,37,15.46,YE,2022-08-20 18:39:13
129,Pundaguitan,6.3711,126.1689,83.32,73,100,12.37,PH,2022-08-20 18:39:13
130,Jamestown,42.097,-79.2353,84.02,39,20,8.05,US,2022-08-20 18:34:22
131,Impfondo,1.6381,18.0667,75.9,76,54,0.87,CG,2022-08-20 18:39:14
132,Pangnirtung,66.1451,-65.7125,48.2,76,100,8.05,CA,2022-08-20 18:39:14
133,Isla Mujeres,21.2311,-86.731,91.45,72,67,10.13,MX,2022-08-20 18:40:15
134,Esperance,-33.8667,121.9,51.82,78,5,6.76,AU,2022-08-20 18:40:15
135,Carnarvon,-24.8667,113.6333,66.31,61,0,10.18,AU,2022-08-20 18:40:15
136,Butaritari,3.0707,172.7902,80.42,75,2,4.29,KI,2022-08-20 18:40:16
137,Gainesville,29.6516,-82.3248,96.03,53,0,3.44,US,2022-08-20 18:40:14
138,Thompson,55.7435,-97.8558,84.36,42,40,17.27,CA,2022-08-20 18:40:16
139,Noumea,-22.2763,166.4572,71.01,99,95,8.66,NC,2022-08-20 18:36:11
140,Alta Floresta,-9.8756,-56.0861,91.22,29,0,4.61,BR,2022-08-20 18:40:16
141,Cape Town,-33.9258,18.4232,54.91,73,20,6.91,ZA,2022-08-20 18:38:11
142,Okato,-39.2,173.8833,58.17,95,33,15.01,NZ,2022-08-20 18:40:17
143,Havoysund,70.9963,24.6622,62.83,90,100,7.83,NO,2022-08-20 18:40:17
144,Tynda,55.1667,124.7167,45.39,94,21,2.8,RU,2022-08-20 18:40:18
145,Listvyagi,53.6772,86.951,51.33,87,100,4.12,RU,2022-08-20 18:40:18
146,Kyren,51.6828,102.1408,45.18,92,100,1.48,RU,2022-08-20 18:40:18
147,Najran,17.4924,44.1277,93.85,23,100,1.57,SA,2022-08-20 18:40:19
148,Ancud,-41.8697,-73.8203,54.23,81,100,4.05,CL,2022-08-20 18:40:19
149,Skeldon,5.8833,-57.1333,87.12,61,68,5.19,GY,2022-08-20 18:40:19
150,Avarua,-21.2078,-159.775,77.05,83,75,11.5,CK,2022-08-20 18:40:20
151,Rudbar,30.15,62.6,85.19,15,18,10.89,AF,2022-08-20 18:40:20
152,Alyangula,-13.8483,136.4192,69.96,72,0,12.1,AU,2022-08-20 18:36:21
153,Derbent,42.0678,48.2899,75.43,62,5,9.8,RU,2022-08-20 18:40:21
154,Saeby,57.3319,10.5225,64.33,76,41,9.17,DK,2022-08-20 18:40:21
155,Abu Samrah,35.3029,37.1841,80.56,59,0,11.36,SY,2022-08-20 18:40:21
156,Faya,18.3851,42.4509,72.12,75,48,4.29,SA,2022-08-20 18:40:22
157,Escanaba,45.7453,-87.0646,75.51,84,20,8.05,US,2022-08-20 18:40:06
158,Chastyye,57.2888,54.9728,61.52,73,0,4.63,RU,2022-08-20 18:40:22
159,Rafaela,-31.2503,-61.4867,69.01,11,100,8.01,AR,2022-08-20 18:36:18
160,Port Lincoln,-34.7333,135.8667,51.75,88,45,6.55,AU,2022-08-20 18:40:23
161,Tiksi,71.6872,128.8694,40.41,94,100,14.92,RU,2022-08-20 18:40:23
162,Tiarei,-17.5333,-149.3333,77.02,76,30,16.35,PF,2022-08-20 18:40:23
163,Dondo,-19.6094,34.7431,65.71,78,0,5.35,MZ,2022-08-20 18:37:42
164,Kamenka,51.3223,42.7678,69.58,27,100,14.25,RU,2022-08-20 18:40:24
165,Tigil,57.8,158.6667,58.96,87,100,11.34,RU,2022-08-20 18:40:24
166,Saurimo,-9.6608,20.3916,71.31,20,100,5.14,AO,2022-08-20 18:40:25
167,Marsh Harbour,26.5412,-77.0636,85.5,70,12,10.96,BS,2022-08-20 18:35:31
168,Chapleau,47.8405,-83.4034,68.09,83,75,5.75,CA,2022-08-20 18:40:25
169,Liverpool,53.4106,-2.9779,69.3,60,20,18.41,GB,2022-08-20 18:40:26
170,Bathsheba,13.2167,-59.5167,86.61,79,40,13.8,BB,2022-08-20 18:40:26
171,Omsukchan,62.5333,155.8,46.72,98,100,4.32,RU,2022-08-20 18:40:27
172,Kumluca,36.3703,30.2869,84.67,61,0,4.23,TR,2022-08-20 18:40:27
173,Port Moresby,-9.4431,147.1797,69.22,83,40,3.44,PG,2022-08-20 18:40:27
174,Valleyview,55.0667,-117.2859,75.24,57,99,4.61,CA,2022-08-20 18:40:28
175,Nyimba,-14.5566,30.8149,75.16,32,0,6.93,ZM,2022-08-20 18:40:28
176,Kawalu,-7.3817,108.2082,70.12,93,100,1.05,ID,2022-08-20 18:40:29
177,Bambous Virieux,-20.3428,57.7575,71.85,73,75,13.8,MU,2022-08-20 18:40:29
178,College,64.8569,-147.8028,59.58,62,75,4.61,US,2022-08-20 18:40:29
179,Fairbanks,64.8378,-147.7164,59.59,62,0,4.61,US,2022-08-20 18:40:30
180,Kahului,20.8947,-156.47,82.42,67,20,19.57,US,2022-08-20 18:40:30
181,Tineo,43.3376,-6.4145,65.25,93,87,3.36,ES,2022-08-20 18:41:30
182,Kavaratti,10.5669,72.642,81.46,79,100,14.25,IN,2022-08-20 18:41:31
183,Marzuq,14.4,46.4667,81.97,57,95,6.22,YE,2022-08-20 18:41:31
184,Port Hardy,50.6996,-127.4199,57.2,100,100,0.0,CA,2022-08-20 18:41:31
185,Ennis,52.8436,-8.9864,58.93,94,75,13.8,IE,2022-08-20 18:41:32
186,Sabha,27.0377,14.4283,93.45,16,0,9.37,LY,2022-08-20 18:41:32
187,Arroyo,41.6096,-4.7969,89.15,24,0,4.61,ES,2022-08-20 18:41:33
188,Baie-Comeau,49.2168,-68.1489,74.88,60,0,18.41,CA,2022-08-20 18:41:33
189,Serro,-18.6047,-43.3794,69.35,51,100,8.39,BR,2022-08-20 18:41:33
190,Tarko-Sale,64.9225,77.785,47.1,74,100,16.71,RU,2022-08-20 18:41:34
191,Mocuba,-16.8392,36.9856,70.21,90,12,5.01,MZ,2022-08-20 18:41:34
192,Papar,5.7333,115.9333,75.2,88,75,3.71,MY,2022-08-20 18:41:35
193,Clyde River,70.4692,-68.5914,53.83,58,75,14.97,CA,2022-08-20 18:41:35
194,Ostrovnoy,68.0531,39.5131,66.18,81,6,15.01,RU,2022-08-20 18:41:35
195,Pathein,16.7833,94.7333,78.12,93,100,5.1,MM,2022-08-20 18:41:36
196,Bilma,18.6853,12.9164,96.31,30,92,4.05,NE,2022-08-20 18:41:36
197,Manbij,36.5281,37.9549,81.14,62,0,16.26,SY,2022-08-20 18:41:41
198,Vila Praia De Ancora,41.811,-8.8526,68.72,82,63,12.35,PT,2022-08-20 18:41:41
199,Gigmoto,13.7796,124.39,79.16,85,100,3.42,PH,2022-08-20 18:41:41
200,Amos,48.5669,-78.1162,81.18,58,100,8.86,CA,2022-08-20 18:41:42
201,Leshukonskoye,64.8989,45.7622,61.88,64,4,5.35,RU,2022-08-20 18:41:42
202,Milkovo,54.7167,158.6167,52.5,94,100,1.81,RU,2022-08-20 18:41:43
203,Pimentel,-6.8367,-79.9342,71.89,60,0,12.66,PE,2022-08-20 18:41:43
204,Narsaq,60.9167,-46.05,48.42,97,100,3.76,GL,2022-08-20 18:41:43
205,Chokurdakh,70.6333,147.9167,55.33,73,11,7.63,RU,2022-08-20 18:41:44
206,Victoria,22.2855,114.1577,84.38,88,70,8.99,HK,2022-08-20 18:39:35
207,Porto Novo,6.4965,2.6036,76.82,86,18,6.82,BJ,2022-08-20 18:38:00
208,Chipinge,-20.1883,32.6236,58.46,44,0,0.78,ZW,2022-08-20 18:41:44
209,Butterworth,5.3991,100.3638,82.99,87,20,3.44,MY,2022-08-20 18:41:45
210,Stafford,52.8052,-2.1164,70.72,56,44,15.39,GB,2022-08-20 18:40:06
211,Colac,-38.3333,143.5833,42.08,89,2,2.08,AU,2022-08-20 18:41:45
212,San Jose,37.3394,-121.895,89.92,55,0,4.61,US,2022-08-20 18:36:47
213,East London,-33.0153,27.9116,52.74,71,0,16.11,ZA,2022-08-20 18:41:46
214,Bethel,41.3712,-73.414,89.11,48,20,10.36,US,2022-08-20 18:41:46
215,San Policarpo,12.1791,125.5072,77.56,85,100,4.29,PH,2022-08-20 18:41:47
216,Benghazi,32.1167,20.0667,82.08,73,0,16.06,LY,2022-08-20 18:37:53
217,Meadow Lake,34.8014,-106.5436,66.34,77,100,11.07,US,2022-08-20 18:40:57
218,Laguna,38.421,-121.4238,99.09,27,0,0.0,US,2022-08-20 18:41:47
219,Jha Jha,24.7667,86.3667,79.27,86,39,13.6,IN,2022-08-20 18:41:48
220,Kodiak,57.79,-152.4072,54.91,94,100,11.5,US,2022-08-20 18:41:48
221,Lata,40.1629,-8.3327,73.22,55,0,5.39,PT,2022-08-20 18:41:48
222,La Ronge,55.1001,-105.2842,80.82,50,75,9.22,CA,2022-08-20 18:41:32
223,Port Blair,11.6667,92.75,82.44,83,40,8.05,IN,2022-08-20 18:41:49
224,Hobyo,5.3505,48.5268,76.93,88,100,25.55,SO,2022-08-20 18:41:49
225,Palmas,-10.2128,-48.3603,94.87,21,0,10.36,BR,2022-08-20 18:42:49
226,Yellowknife,62.456,-114.3525,64.92,68,75,15.01,CA,2022-08-20 18:42:50
227,Caravelas,-17.7125,-39.2481,74.39,70,15,7.76,BR,2022-08-20 18:42:50
228,Muskogee,35.5834,-95.3336,93.27,51,0,8.05,US,2022-08-20 18:42:50
229,Grindavik,63.8424,-22.4338,49.95,71,20,24.16,IS,2022-08-20 18:42:51
230,Pinawa,50.1489,-95.8811,78.37,37,0,1.97,CA,2022-08-20 18:42:55
231,Faanui,-16.4833,-151.75,78.21,74,79,15.82,PF,2022-08-20 18:42:56
232,Taltal,-25.4,-70.4833,60.24,72,24,4.47,CL,2022-08-20 18:42:56
233,Nyrob,60.733,56.7202,60.78,82,0,3.62,RU,2022-08-20 18:42:57
234,Camana,-16.6228,-72.7111,63.86,69,0,8.75,PE,2022-08-20 18:42:57
235,Lamu,-2.2717,40.902,73.62,84,30,13.13,KE,2022-08-20 18:42:58
236,Hambantota,6.1241,81.1185,79.14,94,20,8.05,LK,2022-08-20 18:42:58
237,Saint Anthony,45.0205,-93.218,74.14,81,100,11.5,US,2022-08-20 18:42:58
238,Mastic Beach,40.7668,-72.8521,90.48,59,0,12.66,US,2022-08-20 18:42:59
239,Katangli,51.7102,143.2326,54.12,96,93,7.18,RU,2022-08-20 18:42:59
240,Boa Esperanca,-21.09,-45.5658,70.39,45,42,12.55,BR,2022-08-20 18:42:59
241,Ati,13.2154,18.3353,81.86,67,35,2.82,TD,2022-08-20 18:43:00
242,Shingu,33.7333,135.9833,78.19,87,80,4.0,JP,2022-08-20 18:43:00
243,Axim,4.8699,-2.2405,75.11,85,100,6.8,GH,2022-08-20 18:43:01
244,Kununurra,-15.7667,128.7333,71.58,24,6,9.22,AU,2022-08-20 18:43:01
245,Sibolga,1.7427,98.7792,75.45,88,100,1.79,ID,2022-08-20 18:43:01
246,Cap Malheureux,-19.9842,57.6142,71.47,71,20,8.01,MU,2022-08-20 18:43:02
247,Waipawa,-41.4122,175.5153,52.54,81,25,11.97,NZ,2022-08-20 18:43:02
248,Ternate,0.8,127.4,79.29,78,8,5.19,ID,2022-08-20 18:43:02
249,Sao Joao Da Barra,-21.6403,-41.0511,68.09,61,100,18.45,BR,2022-08-20 18:43:03
250,Hasaki,35.7333,140.8333,75.6,94,100,6.31,JP,2022-08-20 18:43:03
251,Oistins,13.0667,-59.5333,86.09,79,40,13.8,BB,2022-08-20 18:43:03
252,Bongandanga,1.5,21.05,74.66,76,28,0.98,CD,2022-08-20 18:43:04
253,Stephenville,32.2207,-98.2023,95.25,38,40,5.75,US,2022-08-20 18:39:00
254,Mandera,3.9366,41.867,87.04,35,100,16.35,KE,2022-08-20 18:43:04
255,Balabac,7.9868,117.0645,81.72,79,52,7.52,PH,2022-08-20 18:43:05
256,Dingle,10.9995,122.6711,76.03,90,100,2.57,PH,2022-08-20 18:43:05
257,Biu,10.6129,12.1946,70.12,83,77,4.85,NG,2022-08-20 18:43:05
258,Foki,56.693,54.3499,60.1,74,0,4.23,RU,2022-08-20 18:43:06
259,Omboue,-1.5746,9.2618,73.81,86,18,7.47,GA,2022-08-20 18:43:06
260,Touros,-5.1989,-35.4608,79.84,63,99,18.99,BR,2022-08-20 18:43:07
261,Aksu,41.1231,80.2644,77.83,39,4,8.32,CN,2022-08-20 18:39:15
262,Altay,47.8667,88.1167,46.81,34,1,5.06,CN,2022-08-20 18:43:09
263,Marawi,7.9986,124.2928,68.86,92,100,4.72,PH,2022-08-20 18:43:09
264,Sembakung,3.8167,117.25,73.44,97,68,1.12,ID,2022-08-20 18:43:09
265,Muncar,-8.4333,114.3333,72.63,83,99,1.97,ID,2022-08-20 18:43:10
266,Bushenyi,-0.5853,30.2114,61.23,92,45,2.37,UG,2022-08-20 18:43:10
267,Praia,14.9215,-23.5087,77.54,94,75,11.5,CV,2022-08-20 18:43:11
268,Moindou,-21.6924,165.677,68.23,88,74,6.22,NC,2022-08-20 18:43:11
269,Jijiga,9.35,42.8,69.46,62,100,9.75,ET,2022-08-20 18:43:11
270,Chingirlau,51.095,54.0814,66.2,45,79,7.67,KZ,2022-08-20 18:44:12
271,Florianopolis,-27.6146,-48.5012,63.63,56,40,8.05,BR,2022-08-20 18:44:19
272,Kloulklubed,7.0419,134.2556,73.9,74,100,3.96,PW,2022-08-20 18:44:19
273,Padre Bernardo,-15.35,-48.5,86.16,20,3,11.41,BR,2022-08-20 18:44:20
274,Klaksvik,62.2266,-6.589,50.92,88,97,20.11,FO,2022-08-20 18:44:20
275,Galle,6.0367,80.217,78.89,86,91,10.8,LK,2022-08-20 18:44:20
276,Santa Maria Do Para,-1.3503,-47.5756,88.32,57,59,2.84,BR,2022-08-20 18:44:21
277,Tessalit,20.1986,1.0114,95.76,27,2,8.37,ML,2022-08-20 18:44:21
278,Awbari,26.5921,12.7805,93.65,14,0,7.31,LY,2022-08-20 18:44:21
279,Poronaysk,49.2167,143.1167,56.44,87,6,9.71,RU,2022-08-20 18:44:22
280,Tomaszow Mazowiecki,51.5313,20.0086,75.56,10,100,6.26,PL,2022-08-20 18:44:22
281,Lebu,-37.6167,-73.65,55.0,81,89,18.81,CL,2022-08-20 18:44:23
282,Saint-Joseph,-21.3667,55.6167,67.21,73,21,8.23,RE,2022-08-20 18:44:25
283,Piacenza,45.0468,9.6994,81.45,57,0,4.14,IT,2022-08-20 18:44:25
284,Bairiki,1.3292,172.9752,75.2,94,75,0.0,KI,2022-08-20 18:44:26
285,Bentiu,9.2333,29.8333,69.85,94,82,0.36,SS,2022-08-20 18:44:26
286,Jian,27.1172,114.9793,81.9,68,100,7.65,CN,2022-08-20 18:44:26
287,Sawang Daen Din,17.4753,103.4575,75.18,99,100,5.5,TH,2022-08-20 18:44:27
288,Bahadurganj,26.2667,87.8167,80.85,83,13,7.61,IN,2022-08-20 18:44:27
289,Paita,-5.0892,-81.1144,70.48,68,47,16.28,PE,2022-08-20 18:44:27
290,Pizarro,4.9533,-77.366,79.84,86,100,10.27,CO,2022-08-20 18:44:28
291,Hofn,64.2539,-15.2082,50.97,81,100,3.24,IS,2022-08-20 18:44:28
292,Mankono,8.0586,-6.1897,73.38,91,100,3.74,CI,2022-08-20 18:44:28
293,Warwick,41.7001,-71.4162,94.14,54,75,20.71,US,2022-08-20 18:39:57
294,Puerto Baquerizo Moreno,-0.9,-89.6,72.59,78,75,12.66,EC,2022-08-20 18:42:35
295,Lorengau,-2.0226,147.2712,79.16,79,100,7.11,PG,2022-08-20 18:44:29
296,Krasnoselkup,65.7,82.4667,43.79,81,6,18.75,RU,2022-08-20 18:44:30
