City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
648,Catuday,PH,80.85,moderate rain,16.2923,119.8062,Benjie's Kubo & Cottages
649,Shingu,JP,76.91,clear sky,33.7333,135.9833,Shingu UI Hotel
651,San Vicente,AR,71.37,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
652,Ransang,PH,77.56,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
654,Caririacu,BR,86.92,scattered clouds,-7.0422,-39.2836,Pousada Serrana
656,Ormara,PK,81.61,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
658,Madisonville,US,81.88,broken clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
659,Omboue,GA,75.06,broken clouds,-1.5746,9.2618,Hotel Olako
660,Pasighat,IN,79.54,clear sky,28.0667,95.3333,Siang Guest House
662,Nishihara,JP,83.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
665,Quang Ngai,VN,77.47,scattered clouds,15.1167,108.8,Central Hotel
666,Damara,CF,71.22,overcast clouds,4.9608,18.7035,
668,Rameswaram,IN,83.08,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
669,Terrace,CA,76.51,clear sky,54.5163,-128.6035,Northern Motor Inn
673,Maumere,ID,75.02,scattered clouds,-8.6199,122.2111,Sylvia Hotel
675,Filadelfia,US,88.21,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
676,Vila,PT,75.7,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
677,Mamallapuram,IN,78.06,moderate rain,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
679,Cavalcante,BR,83.62,scattered clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
683,Kerema,PG,74.97,overcast clouds,-7.9631,145.7785,Frena Lodge
685,Tapachula,MX,86.52,broken clouds,14.9,-92.2833,Hotel Casa Mexicana
687,Bandiagara,ML,87.96,broken clouds,14.3501,-3.6104,Hotel de la Falaise
688,Uthal,PK,81.16,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
