City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
439,Prince Rupert,CA,54.3161,-130.3201,55.49,100,100,6.91,fog
440,Maragogi,BR,-9.0122,-35.2225,76.46,79,54,12.84,broken clouds
441,Sydney Mines,CA,46.2367,-60.2177,84.15,73,20,9.22,few clouds
442,Santiago Del Estero,AR,-27.7951,-64.2615,73.29,13,0,4.72,clear sky
443,Putai,FR,46.6579,1.9863,67.39,53,100,6.82,light rain
444,Isola Del Liri,IT,41.6862,13.5823,77.27,65,100,2.62,overcast clouds
445,Ixtapa,MX,20.7,-105.2,87.22,63,47,7.0,scattered clouds
446,Huron,US,41.1501,-82.5499,77.68,87,99,6.53,overcast clouds
447,Woodward,US,36.4337,-99.3904,72.97,78,40,4.61,light rain
448,Simbahan,PH,6.3032,120.5836,83.61,72,100,8.84,overcast clouds
449,Mingguang,CN,32.7802,117.9638,83.7,70,95,7.9,overcast clouds
450,Karatau,KZ,43.1667,70.4667,61.02,37,0,18.34,clear sky
451,Padang,ID,-0.9492,100.3543,76.17,78,100,4.63,heavy intensity rain
452,Sikasso,ML,10.9167,-7.0,80.4,77,60,1.95,light rain
453,Pakxan,LA,18.3778,103.6601,73.78,99,100,1.79,overcast clouds
454,Poum,NC,-20.2333,164.0167,72.91,86,60,16.33,broken clouds
455,Xining,CN,36.6167,101.7667,61.48,97,100,2.59,moderate rain
456,Kupang,ID,-10.1667,123.5833,75.33,67,36,15.21,scattered clouds
457,Leningradskiy,RU,69.3833,178.4167,38.23,84,37,10.42,scattered clouds
458,Merauke,ID,-8.4667,140.3333,74.57,85,9,13.35,clear sky
459,Bhawanipatna,IN,19.9,83.1667,74.89,91,100,5.26,heavy intensity rain
460,Seymchan,RU,62.8833,152.4333,53.91,91,100,4.65,light rain
461,Coihaique,CL,-45.5752,-72.0662,50.61,66,100,2.3,overcast clouds
462,Beyneu,KZ,45.3167,55.2,78.93,32,76,10.89,broken clouds
463,Charters Towers,AU,-20.1,146.2667,55.04,91,0,8.57,clear sky
464,Fortuna,US,40.5982,-124.1573,63.99,84,0,8.05,clear sky
465,Nabire,ID,-3.3667,135.4833,76.21,90,99,2.15,overcast clouds
466,Port Macquarie,AU,-31.4333,152.9167,42.89,89,25,5.35,scattered clouds
467,Boyolangu,ID,-8.1181,111.8935,72.7,90,65,4.05,broken clouds
468,Puerto Colombia,CO,10.9878,-74.9547,84.29,72,100,9.75,overcast clouds
469,Batemans Bay,AU,-35.7167,150.1833,43.11,79,59,5.21,broken clouds
470,Biak,ID,-0.9131,122.8766,74.79,87,97,6.6,overcast clouds
471,Makakilo City,US,21.3469,-158.0858,78.69,72,51,14.07,broken clouds
472,Yarada,IN,17.65,83.2667,84.25,71,83,9.95,broken clouds
473,Maltahohe,NA,-24.8333,16.9833,59.25,15,2,7.45,clear sky
474,Te Anau,NZ,-45.4167,167.7167,38.59,99,100,0.56,overcast clouds
475,Diego De Almagro,CL,-26.3667,-70.05,73.96,20,61,8.52,broken clouds
476,Berlevag,NO,70.8578,29.0864,68.0,77,100,16.11,overcast clouds
477,Shalinskoye,RU,55.7228,93.7594,49.66,95,100,11.77,light rain
478,Gornopravdinsk,RU,60.05,69.9,52.0,83,100,2.68,overcast clouds
479,Gisborne,NZ,-38.6533,178.0042,52.81,89,63,6.06,broken clouds
480,Zaysan,KZ,47.4667,84.8667,54.27,49,25,8.79,scattered clouds
481,Banjar,ID,-8.19,114.9675,72.55,89,40,5.46,scattered clouds
482,Sinnamary,GF,5.3833,-52.95,83.57,72,35,7.74,moderate rain
483,Ugoofaaru,MV,5.6667,73.0,82.27,75,88,15.1,overcast clouds
484,Turukhansk,RU,65.8167,87.9833,42.08,71,83,8.23,broken clouds
485,Villanueva De La Serena,ES,38.9766,-5.7974,98.22,9,1,9.62,clear sky
486,Antsohihy,MG,-14.8796,47.9875,70.43,77,6,1.52,clear sky
487,Kutum,SD,14.2,24.6667,77.81,54,38,8.21,scattered clouds
488,Meadow Lake,US,34.8014,-106.5436,77.31,53,35,4.43,scattered clouds
489,Gao,ML,16.6362,1.637,95.58,31,11,5.46,few clouds
490,Flekkefjord,NO,58.2971,6.6607,61.95,81,13,10.58,few clouds
491,Rawson,AR,-43.3002,-65.1023,56.28,48,1,24.85,clear sky
492,Cap Malheureux,MU,-19.9842,57.6142,68.47,73,40,1.99,scattered clouds
493,North Platte,US,41.1239,-100.7654,81.32,49,6,7.0,clear sky
494,Samana,DO,19.2056,-69.3369,89.82,70,20,9.22,few clouds
495,Teya,RU,60.3778,92.6267,39.6,93,61,3.15,broken clouds
496,Dukat,RU,62.55,155.55,46.51,99,100,6.6,light rain
497,Chitipa,MW,-9.7024,33.2697,65.21,63,54,6.96,broken clouds
498,Thunder Bay,CA,48.4001,-89.3168,75.11,50,20,5.75,few clouds
499,Zhanaozen,KZ,43.3,52.8,76.08,27,2,18.9,clear sky
500,Saint-Joseph,RE,-21.3667,55.6167,68.38,70,13,5.28,few clouds
501,Saint-Georges,GD,12.0564,-61.7485,74.88,94,75,0.0,broken clouds
502,San Quintin,MX,30.4833,-115.95,71.1,77,98,7.09,overcast clouds
503,Port Lincoln,AU,-34.7333,135.8667,53.85,91,6,15.7,clear sky
504,Nerchinskiy Zavod,RU,51.3088,119.61,44.6,88,96,3.15,overcast clouds
505,Arawa,PG,-6.2132,155.5367,74.68,92,12,1.86,light rain
506,Svetlaya,RU,46.5389,138.3297,61.18,71,36,8.03,scattered clouds
507,Khani,GE,41.9563,42.9566,69.37,49,66,5.93,broken clouds
508,Fowa,NG,8.9167,6.4,78.44,76,58,3.13,broken clouds
509,Lachi,PK,33.3833,71.3386,79.18,69,87,3.0,overcast clouds
510,Sao Filipe,CV,14.8961,-24.4956,77.04,87,100,4.92,overcast clouds
511,Pandharpur,IN,17.6667,75.3333,76.12,77,100,13.67,overcast clouds
512,Xinzhi,CN,36.4989,111.7047,84.72,67,86,4.18,moderate rain
