City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Chuy,UY,2022-08-20 16:19:04,-33.6971,-53.4616,55.6,49,2,7.29
59,Narsaq,GL,2022-08-20 16:19:04,60.9167,-46.05,44.82,93,100,4.41
60,Clyde River,CA,2022-08-20 16:19:05,70.4692,-68.5914,52.03,58,0,13.8
61,Sakaraha,MG,2022-08-20 16:19:05,-22.9,44.5333,72.86,52,1,12.03
62,Birjand,IR,2022-08-20 16:19:05,32.8663,59.2211,75.67,11,0,13.8
63,Svetlogorsk,BY,2022-08-20 16:19:06,52.6333,29.7333,72.81,51,100,11.21
64,Humaita,BR,2022-08-20 16:19:06,-7.5061,-63.0208,85.28,35,63,5.5
65,Yar-Sale,RU,2022-08-20 16:19:06,66.8333,70.8333,47.88,62,5,8.86
66,Cape Town,ZA,2022-08-20 16:14:19,-33.9258,18.4232,58.26,63,46,1.99
67,Khani,GE,2022-08-20 16:19:07,41.9563,42.9566,71.17,70,97,7.16
68,Chokurdakh,RU,2022-08-20 16:19:07,70.6333,147.9167,56.16,68,14,8.46
69,Omsukchan,RU,2022-08-20 16:19:08,62.5333,155.8,45.73,98,100,6.04
70,Comodoro Rivadavia,AR,2022-08-20 16:19:08,-45.8667,-67.5,46.26,81,100,9.22
71,Avarua,CK,2022-08-20 16:19:08,-21.2078,-159.775,75.25,88,75,13.8
72,Atuona,PF,2022-08-20 16:19:09,-9.8,-139.0333,76.39,76,15,16.84
73,Sibolga,ID,2022-08-20 16:19:09,1.7427,98.7792,76.24,87,100,3.22
74,Ahipara,NZ,2022-08-20 16:19:09,-35.1667,173.1667,55.58,91,19,5.48
75,Kodinar,IN,2022-08-20 16:19:10,20.7903,70.7031,80.49,83,97,13.0
76,Hilo,US,2022-08-20 16:19:10,19.7297,-155.09,77.29,82,40,6.91
77,Albany,US,2022-08-20 16:19:11,42.6001,-73.9662,87.39,51,93,1.01
78,Dikson,RU,2022-08-20 16:19:11,73.5069,80.5464,42.76,82,100,5.19
79,Broken Hill,AU,2022-08-20 16:19:12,-31.95,141.4333,54.03,64,92,2.77
80,Oktyabrskoye,RU,2022-08-20 16:19:12,43.0645,44.7417,80.35,61,20,8.95
81,Terrace Bay,CA,2022-08-20 16:19:12,48.7834,-87.1,63.27,72,80,6.49
82,Ifanadiana,MG,2022-08-20 16:19:13,-21.3,47.6333,62.78,88,0,2.21
83,Pauini,BR,2022-08-20 16:19:13,-7.7136,-66.9764,82.18,30,75,5.84
84,Hithadhoo,MV,2022-08-20 16:19:13,-0.6,73.0833,81.16,77,100,9.48
85,Iqaluit,CA,2022-08-20 16:19:14,63.7506,-68.5145,42.53,86,100,6.91
86,Dobrusevo,MK,2022-08-20 16:19:14,41.1686,21.4825,67.14,87,90,7.83
87,Vaitape,PF,2022-08-20 16:19:15,-16.5167,-151.75,77.81,74,57,16.35
88,Povoa De Varzim,PT,2022-08-20 16:19:15,41.3834,-8.7636,93.24,73,0,9.22
89,Port Elizabeth,ZA,2022-08-20 16:14:53,-33.918,25.5701,54.1,92,100,13.8
90,Cabedelo,BR,2022-08-20 16:19:16,-6.9811,-34.8339,84.87,66,25,19.6
91,Lompoc,US,2022-08-20 16:19:19,34.6391,-120.4579,68.85,96,100,3.44
92,Ballina,AU,2022-08-20 16:20:19,-28.8667,153.5667,51.78,80,20,5.84
93,Jamestown,US,2022-08-20 16:20:19,42.097,-79.2353,83.95,46,40,3.44
94,Bambous Virieux,MU,2022-08-20 16:20:19,-20.3428,57.7575,71.85,78,75,14.97
95,Juruti,BR,2022-08-20 16:20:20,-2.1522,-56.0922,97.65,29,25,5.08
96,Swan Hill,AU,2022-08-20 16:20:20,-35.3378,143.5544,47.66,69,89,5.75
97,Inhambane,MZ,2022-08-20 16:20:20,-23.865,35.3833,71.58,73,20,4.61
98,Moroni,KM,2022-08-20 16:20:21,-11.7022,43.2551,75.22,75,46,1.01
99,Maracacume,BR,2022-08-20 16:20:21,-2.0428,-45.9592,92.32,41,38,6.78
100,Saint-Joseph,RE,2022-08-20 16:20:22,-21.3667,55.6167,68.38,73,13,9.13
101,Pemangkat,ID,2022-08-20 16:20:22,1.1667,108.9667,79.72,83,100,2.66
